Make,Type,Year,Origin,Options,Gear_Type,Mileage,Region,Price
Toyota,Camry,2001,Saudi,Standard,Manual,300,Qassim,13500
Nissan,Pathfinder,2014,Saudi,Semi Full,Automatic,198000,Dammam,50000
Chevrolet,Tahoe,2008,Other,Semi Full,Automatic,450000,Riyadh,0
Toyota,Corolla,2013,Saudi,Semi Full,Automatic,296,Jazan,30000
Renault,Duster,2014,Other,Semi Full,Manual,135000,Riyadh,0
Hyundai,Sonata,2019,Saudi,Standard,Automatic,94000,Riyadh,58000
Hyundai,Sonata,2019,Saudi,Standard,Automatic,129413,Riyadh,57500
Mitsubishi,Pajero,2016,Saudi,Full,Automatic,161353,Riyadh,57500
Hyundai,Elantra,2020,Saudi,Standard,Automatic,20939,Riyadh,57500
Toyota,Camry,2012,Saudi,Standard,Automatic,211869,Al-Ahsa,0
Toyota,Camry,2016,Unknown,Standard,Automatic,254000,Riyadh,0
Ford,Expedition,2013,Saudi,Semi Full,Automatic,94000,Dammam,60000
Toyota,Camry,2016,Saudi,Full,Automatic,260000,Riyadh,53000
Ford,Expedition,2015,Unknown,Semi Full,Automatic,125000,Jeddah,75000
Chrysler,C300,2013,Saudi,Full,Automatic,241000,Riyadh,41000
Chevrolet,Caprice,2009,Saudi,Standard,Automatic,320000,Jeddah,27000
Lexus,ES,2002,Gulf Arabic,Full,Automatic,428000,Hail,0
Nissan,Sunny,2014,Other,Standard,Automatic,156,Riyadh,0
Mercedes,S,1993,Other,Full,Automatic,138,Al-Jouf,22000
Chevrolet,Tahoe,2014,Saudi,Semi Full,Automatic,157000,Al-Jouf,68500
GMC,Yukon,2012,Saudi,Standard,Automatic,65000,Makkah,80000
Toyota,Hilux,2016,Saudi,Semi Full,Automatic,211000,Makkah,66000
Chevrolet,Malibu,2011,Saudi,Full,Automatic,299,Jeddah,0
Toyota,FJ,2013,Saudi,Standard,Automatic,260000,Riyadh,0
Dodge,Charger,2020,Saudi,Semi Full,Automatic,21000,Riyadh,120000
Ford,Taurus,2010,Other,Semi Full,Automatic,406593,Jeddah,19000
Toyota,Hilux,2018,Saudi,Full,Manual,122000,Najran,65000
BMW,X,2015,Gulf Arabic,Full,Automatic,72000,Riyadh,170000
Toyota,Land Cruiser Pickup,2015,Saudi,Semi Full,Manual,96000,Tabouk,95000
Toyota,FJ,2015,Gulf Arabic,Full,Automatic,300000,Tabouk,0
Ford,Explorer,2010,Saudi,Full,Automatic,250000,Jeddah,21000
Lexus,LX,2017,Saudi,Full,Automatic,51000,Dammam,340000
Honda,Other,2009,Saudi,Full,Manual,32743,Jeddah,27500
Hyundai,Elantra,2020,Saudi,Standard,Automatic,24348,Riyadh,57500
Hyundai,Elantra,2020,Saudi,Standard,Automatic,16925,Riyadh,57500
Ford,Taurus,2013,Saudi,Standard,Automatic,53393,Riyadh,57500
Hyundai,Elantra,2019,Saudi,Standard,Automatic,31595,Riyadh,58000
BMW,X,2012,Other,Full,Automatic,294000,Jeddah,45000
Toyota,Hilux,2012,Saudi,Full,Manual,337681,Al-Ahsa,0
Audi,S5,2018,Saudi,Full,Automatic,79800,Dammam,160000
Toyota,Camry,2014,Saudi,Standard,Automatic,295,Jeddah,0
Ford,F150,2012,Saudi,Standard,Automatic,235000,Al-Medina,55000
Audi,A6,2016,Saudi,Full,Automatic,77000,Jeddah,90000
Mercedes,S,2014,Other,Full,Automatic,29000,Dammam,260000
Mercedes,S,2015,Gulf Arabic,Full,Automatic,96500,Dammam,220000
Mercedes,GLC,2019,Saudi,Full,Automatic,56000,Dammam,223000
Land Rover,Range Rover,2014,Saudi,Full,Automatic,97500,Jeddah,195000
Nissan,Sunny,2008,Saudi,Standard,Manual,275000,Riyadh,10000
Toyota,Camry,2001,Saudi,Full,Manual,399000,Jubail,10000
GMC,Yukon,2015,Saudi,Full,Automatic,200000,Khobar,0
Toyota,Yaris,2017,Saudi,Standard,Automatic,100000,Makkah,27000
Dodge,Charger,2019,Saudi,Full,Automatic,78000,Khobar,124000
Hyundai,Sonata,2013,Saudi,Semi Full,Automatic,344506,Jeddah,30000
Lexus,LX,2014,Saudi,Full,Automatic,342,Abha,150000
Hyundai,Accent,2016,Saudi,Standard,Automatic,111,Riyadh,22000
Hyundai,H1,2013,Saudi,Semi Full,Automatic,318000,Riyadh,26000
Chevrolet,Caprice,2013,Saudi,Full,Automatic,184000,Riyadh,36000
Jeep,Grand Cherokee,2020,Saudi,Full,Automatic,27150,Aseer,165000
Nissan,Sentra,2017,Saudi,Semi Full,Automatic,55005,Jeddah,1139
Hyundai,H1,2018,Saudi,Standard,Automatic,106336,Riyadh,58500
Geely,X7,2019,Saudi,Full,Automatic,27817,Riyadh,58500
Geely,GS,2020,Saudi,Semi Full,Automatic,8400,Riyadh,58500
Hyundai,H1,2018,Saudi,Standard,Automatic,79237,Riyadh,58500
Toyota,Camry,2010,Saudi,Semi Full,Automatic,4444,Dammam,0
GMC,Yukon,2007,Other,Standard,Manual,329131,Dammam,0
Chevrolet,Suburban,2011,Saudi,Full,Automatic,282000,Riyadh,60000
Nissan,Patrol,2003,Saudi,Standard,Manual,228000,Riyadh,0
Ford,Taurus,2013,Saudi,Standard,Automatic,251,Riyadh,35000
Mercedes,S,1995,Other,Semi Full,Automatic,115,Al-Ahsa,21000
Changan,CS95,2021,Saudi,Full,Automatic,33000,Riyadh,0
Hyundai,Senta fe,2016,Other,Semi Full,Automatic,105000,Riyadh,76000
Hyundai,Elantra,2016,Saudi,Semi Full,Automatic,110000,Qassim,0
Nissan,Patrol,1989,Saudi,Full,Manual,300000,Yanbu,0
Toyota,Camry,2015,Saudi,Full,Automatic,112506,Makkah,0
Mazda,3,2015,Other,Standard,Automatic,225749,Riyadh,0
GMC,Suburban,2004,Saudi,Semi Full,Automatic,111878,Al-Ahsa,15000
Toyota,Rush,2021,Saudi,Semi Full,Automatic,9000,Khobar,59500
Mazda,6,2021,Saudi,Full,Automatic,14500,Jeddah,106000
Mazda,2,2011,Saudi,Standard,Automatic,37000,Riyadh,14000
Hyundai,Veloster,2013,Saudi,Full,Automatic,248000,Riyadh,25000
Hyundai,Sonata,2019,Saudi,Standard,Manual,3400,Al-Ahsa,58000
GMC,Suburban,2004,Other,Full,Automatic,452800,Jazan,18000
Toyota,Camry,2018,Saudi,Full,Automatic,24000,Riyadh,106000
Hyundai,Azera,2012,Gulf Arabic,Semi Full,Automatic,433000,Makkah,30000
Toyota,Cressida,1991,Saudi,Standard,Manual,520000,Riyadh,0
Daihatsu,Delta,2014,Saudi,Full,Manual,100,Aseer,35000
GMC,Suburban,1990,Saudi,Full,Automatic,227,Aseer,0
Hyundai,Creta,2020,Saudi,Standard,Automatic,16576,Riyadh,59500
Chevrolet,Impala,2018,Saudi,Standard,Automatic,110519,Riyadh,58500
Hyundai,Creta,2020,Saudi,Standard,Automatic,13736,Riyadh,60000
Toyota,Corolla,2018,Saudi,Standard,Automatic,28449,Riyadh,59500
Nissan,VTC,2009,Saudi,Semi Full,Manual,251000,Riyadh,60000
Toyota,Furniture,2021,Saudi,Standard,Automatic,11000,Aseer,100000
Toyota,Land Cruiser,2021,Saudi,Semi Full,Automatic,20000,Riyadh,265000
Dodge,Durango,2013,Saudi,Full,Automatic,213000,Riyadh,40000
Nissan,Datsun,1998,Other,Full,Manual,650000,Riyadh,12000
Mazda,6,2017,Saudi,Semi Full,Automatic,207,Makkah,0
Toyota,Furniture,2013,Saudi,Semi Full,Automatic,285000,Aseer,55000
Ford,Victoria,2006,Saudi,Standard,Automatic,320000,Taef,19500
Lexus,IS,2016,Other,Full,Automatic,132000,Dammam,90000
Porsche,Cayenne,2006,Saudi,Full,Automatic,195,Jeddah,18000
Toyota,Camry,2004,Other,Semi Full,Manual,500,Tabouk,0
Mazda,CX9,2011,Other,Full,Automatic,160,Al-Medina,0
Ford,Taurus,2019,Saudi,Semi Full,Automatic,89500,Jeddah,76000
Ford,Expedition,2014,Saudi,Standard,Automatic,143000,Riyadh,60000
Honda,Odyssey,2015,Saudi,Semi Full,Automatic,296000,Jeddah,43000
Kia,Cerato,2017,Saudi,Standard,Automatic,20000,Riyadh,41000
Ford,Mustang,2015,Gulf Arabic,Full,Automatic,121000,Riyadh,85000
Mercedes,A,2021,Saudi,Semi Full,Automatic,250,Jeddah,179000
Toyota,Land Cruiser,1993,Saudi,Full,Manual,580000,Aseer,0
Lincoln,MKX,2011,Saudi,Full,Automatic,240000,Riyadh,0
Ford,F150,2013,Saudi,Full,Automatic,419000,Qassim,0
Land Rover,Range Rover,2017,Saudi,Full,Automatic,75000,Khobar,0
Land Rover,Range Rover,2014,Saudi,Full,Automatic,173000,Riyadh,0
Chevrolet,Blazer,2006,Saudi,Standard,Automatic,457000,Riyadh,10000
Toyota,Camry,2017,Saudi,Standard,Automatic,109862,Riyadh,59500
Hyundai,Elantra,2020,Saudi,Standard,Automatic,9495,Riyadh,59500
Hyundai,Sonata,2019,Saudi,Standard,Automatic,70676,Riyadh,59500
Changan,CS35 Plus,2020,Saudi,Full,Automatic,67095,Riyadh,60000
MG,3,2013,Saudi,Standard,Manual,41000,Riyadh,15000
Toyota,Hilux,2013,Saudi,Semi Full,Manual,290,Tabouk,55000
Toyota,Land Cruiser,2020,Saudi,Full,Automatic,17000,Riyadh,0
BMW,X,2019,Gulf Arabic,Full,Automatic,14000,Riyadh,220000
Toyota,Camry,2007,Saudi,Full,Manual,400000,Makkah,0
Ford,Marquis,2009,Saudi,Semi Full,Automatic,140000,Riyadh,22000
Changan,CS95,2020,Saudi,Full,Automatic,70000,Makkah,0
GMC,Sierra,2015,Other,Full,Automatic,212000,Abha,0
Ford,F150,2016,Saudi,Semi Full,Automatic,138,Riyadh,90000
Hyundai,Elantra,2017,Saudi,Standard,Automatic,99000,Riyadh,38500
Toyota,Hilux,2015,Saudi,Full,Manual,161000,Dammam,0
Toyota,Avalon,2021,Saudi,Full,Automatic,1800,Jeddah,182000
Nissan,KICKS,2020,Saudi,Standard,Automatic,17000,Riyadh,52000
Mitsubishi,Pajero,2016,Gulf Arabic,Full,Automatic,216000,Dammam,58000
INFINITI,Q,2020,Saudi,Full,Automatic,2000,Jeddah,155000
Toyota,FJ,2009,Saudi,Full,Automatic,360000,Jeddah,0
Toyota,Innova,2015,Saudi,Standard,Automatic,122000,Al-Medina,43000
Changan,CS85,2021,Saudi,Full,Automatic,2500,Jeddah,98000
Lincoln,MKX,2017,Saudi,Semi Full,Automatic,75000,Al-Ahsa,125000
Nissan,Armada,2006,Saudi,Full,Automatic,266000,Jeddah,25000
Lexus,NX,2020,Saudi,Standard,Automatic,30000,Jeddah,160000
Nissan,Pathfinder,2002,Saudi,Full,Manual,4090000,Aseer,0
Changan,CS35 Plus,2020,Saudi,Full,Automatic,64355,Riyadh,60000
Hyundai,Azera,2017,Saudi,Standard,Automatic,107154,Riyadh,61000
Hyundai,H1,2018,Saudi,Standard,Automatic,88826,Riyadh,60500
Mazda,6,2017,Saudi,Standard,Automatic,91170,Riyadh,60500
GMC,Suburban,2006,Saudi,Standard,Automatic,230000,Makkah,29000
Lexus,ES,2020,Saudi,Standard,Automatic,30000,Riyadh,142500
Toyota,Camry,2016,Saudi,Semi Full,Automatic,106000,Jeddah,0
Chevrolet,Suburban,2007,Saudi,Standard,Automatic,541000,Riyadh,0
Hyundai,Tucson,2013,Saudi,Semi Full,Automatic,234300,Riyadh,0
Chevrolet,Tahoe,2003,Other,Full,Automatic,488000,Jeddah,13000
Cadillac,Escalade,2018,Saudi,Full,Automatic,22200,Riyadh,230000
Chevrolet,Suburban,2003,Saudi,Standard,Automatic,500000,Riyadh,0
Ford,Expedition,2018,Saudi,Semi Full,Automatic,91000,Najran,0
Jeep,Wrangler,2019,Saudi,Full,Automatic,24500,Al-Medina,0
Kia,Opirus,2008,Saudi,Semi Full,Automatic,271540,Dammam,0
Toyota,Echo,2001,Saudi,Standard,Manual,480000,Jeddah,10000
Ford,Taurus,2017,Saudi,Standard,Automatic,75000,Dammam,65000
Lexus,ES,2017,Other,Semi Full,Automatic,96906,Riyadh,116000
Toyota,Land Cruiser Pickup,2014,Gulf Arabic,Full,Manual,219078,Al-Medina,0
Dodge,Charger,2016,Other,Full,Automatic,142000,Riyadh,89000
Toyota,Land Cruiser,2014,Gulf Arabic,Full,Automatic,200000,Riyadh,0
Toyota,Furniture,2009,Saudi,Standard,Automatic,250,Taef,40000
Toyota,Furniture,2012,Saudi,Standard,Automatic,370000,Riyadh,0
Mercedes,S,2002,Gulf Arabic,Full,Automatic,101000,Dammam,38000
Mercedes,E,2016,Gulf Arabic,Semi Full,Automatic,73000,Dammam,125000
Ford,Expedition,2012,Saudi,Semi Full,Automatic,159000,Hail,0
Hyundai,Sonata,2018,Saudi,Standard,Automatic,120966,Riyadh,49000
Kia,Sportage,2019,Saudi,Standard,Automatic,69358,Riyadh,60500
Kia,Sportage,2019,Saudi,Standard,Automatic,73406,Riyadh,60500
Geely,X7,2019,Saudi,Full,Automatic,32209,Riyadh,61000
MG,6,2020,Saudi,Full,Automatic,29814,Riyadh,61500
Jeep,Grand Cherokee,2020,Saudi,Full,Automatic,52000,Khobar,162000
Lexus,LS,2003,Other,Full,Automatic,1869,Riyadh,22000
Mazda,6,2018,Saudi,Standard,Automatic,198,Jeddah,55000
GMC,Sierra,1979,Saudi,Standard,Manual,100,Riyadh,0
Toyota,Yaris,2016,Saudi,Semi Full,Automatic,130000,Al-Jouf,30000
Lexus,IS,2016,Gulf Arabic,Full,Automatic,166,Al-Ahsa,90000
Toyota,Innova,2015,Gulf Arabic,Standard,Automatic,749000,Riyadh,46000
Mercedes,C,2020,Other,Full,Automatic,24000,Riyadh,267000
Chevrolet,Cruze,2014,Saudi,Semi Full,Automatic,135020,Riyadh,24000
Porsche,Cayenne,2017,Gulf Arabic,Full,Automatic,93000,Dammam,210000
Chevrolet,Malibu,2017,Saudi,Semi Full,Automatic,175000,Dammam,49000
Renault,Symbol,2020,Saudi,Standard,Automatic,27000,Jeddah,25000
Lexus,LX,2017,Gulf Arabic,Full,Automatic,68000,Dammam,342000
Toyota,Hilux,2020,Saudi,Full,Automatic,1040,Riyadh,0
Land Rover,Range Rover,2015,Saudi,Semi Full,Automatic,125000,Riyadh,165000
BMW,The 7,2008,Saudi,Semi Full,Automatic,176000,Al-Medina,26000
Hyundai,Sonata,2018,Saudi,Semi Full,Automatic,66000,Riyadh,1670
Toyota,Camry,2004,Saudi,Full,Automatic,322000,Riyadh,23000
Lexus,ES,2018,Gulf Arabic,Full,Automatic,64000,Qassim,0
Toyota,Avanza,2015,Saudi,Standard,Automatic,233000,Riyadh,28000
GMC,Sierra,2014,Saudi,Full,Automatic,118000,Riyadh,100000
Nissan,Sunny,2018,Saudi,Standard,Automatic,69000,Riyadh,28000
HAVAL,H2,2021,Saudi,Full,Automatic,2800,Jeddah,57000
Nissan,Maxima,2017,Saudi,Standard,Automatic,158543,Riyadh,61500
Hyundai,Sonata,2019,Saudi,Standard,Automatic,127974,Riyadh,61500
Hyundai,Tucson,2018,Saudi,Standard,Automatic,143479,Riyadh,61500
Toyota,Camry,2017,Saudi,Standard,Automatic,101732,Riyadh,61500
Chevrolet,Tahoe,2016,Saudi,Standard,Automatic,139000,Riyadh,110000
Kia,Rio,2019,Saudi,Standard,Automatic,55000,Makkah,36000
Lexus,LS,2010,Other,Semi Full,Automatic,120000,Taef,77000
Lexus,LS,2012,Saudi,Full,Automatic,150000,Taef,95000
Mercedes,S,2015,Gulf Arabic,Full,Automatic,113,Taef,240000
Chrysler,C300,2005,Saudi,Full,Automatic,300000,Jeddah,20000
Chevrolet,Silverado,2014,Saudi,Semi Full,Automatic,213000,Dammam,70000
Mercedes,C,2016,Other,Full,Automatic,99000,Dammam,129000
Kia,Rio,2020,Saudi,Full,Automatic,300,Dammam,57000
Daihatsu,Terios Ground,2015,Saudi,Full,Automatic,98000,Dammam,35000
Toyota,Camry,2012,Saudi,Standard,Automatic,20000,Tabouk,0
Hyundai,Sonata,2017,Saudi,Full,Automatic,154,Al-Ahsa,49000
Mercedes,A,2020,Gulf Arabic,Standard,Automatic,12500,Riyadh,150000
Lexus,RX,2015,Saudi,Full,Automatic,73000,Jeddah,110000
Toyota,Land Cruiser,2015,Saudi,Full,Automatic,137000,Al-Ahsa,150000
Ford,Flex,2014,Saudi,Standard,Automatic,128500,Qassim,49000
Toyota,Land Cruiser,2007,Gulf Arabic,Semi Full,Manual,315,Qassim,60000
Toyota,Land Cruiser Pickup,2012,Gulf Arabic,Semi Full,Manual,485000,Qassim,0
Ford,Victoria,2011,Other,Full,Automatic,129000,Dammam,25000
Toyota,Corolla,2009,Saudi,Semi Full,Manual,360,Jeddah,15000
Mercedes,E,2010,Other,Full,Automatic,168000,Jeddah,58000
Hyundai,H1,2018,Saudi,Standard,Automatic,106327,Riyadh,61500
Hyundai,H1,2018,Saudi,Standard,Automatic,90706,Riyadh,61500
Mitsubishi,Pajero,2016,Saudi,Semi Full,Automatic,153042,Riyadh,61500
Hyundai,Sonata,2018,Saudi,Standard,Automatic,84655,Riyadh,61500
Toyota,Land Cruiser Pickup,2020,Gulf Arabic,Full,Manual,30000,Jeddah,0
GMC,Yukon,2011,Saudi,Semi Full,Automatic,366,Al-Medina,0
Toyota,Furniture,2013,Saudi,Semi Full,Automatic,320,Qassim,0
Chevrolet,Traverse,2016,Saudi,Standard,Automatic,56500,Tabouk,65000
INFINITI,QX,2017,Gulf Arabic,Standard,Automatic,54000,Dammam,70000
GMC,Yukon,2016,Saudi,Full,Automatic,48000,Dammam,145000
Toyota,Land Cruiser,2016,Saudi,Full,Automatic,1900,Jeddah,255000
GMC,Sierra,2018,Saudi,Standard,Automatic,61000,Dammam,145000
Lexus,ES,2017,Other,Full,Automatic,62000,Riyadh,136000
Ford,Expedition,2018,Other,Full,Automatic,103458,Riyadh,186000
Dodge,Charger,2016,Other,Full,Automatic,123000,Riyadh,109000
Toyota,Prado,2016,Saudi,Full,Automatic,174000,Al-Medina,120000
Ford,Taurus,2015,Saudi,Standard,Automatic,279000,Abha,0
MG,5,2020,Saudi,Standard,Automatic,41000,Al-Ahsa,988
Lexus,IS,2016,Other,Full,Automatic,96000,Dammam,108000
Kia,Rio,2008,Saudi,Standard,Manual,323880,Jeddah,9000
Ford,Victoria,1997,Saudi,Full,Automatic,377,Dammam,12000
Chrysler,C300,2013,Saudi,Full,Automatic,220,Dammam,42000
Ford,Explorer,2016,Other,Full,Automatic,128644,Riyadh,118000
Dodge,Charger,2017,Other,Semi Full,Automatic,141000,Riyadh,108000
Chevrolet,Tahoe,2017,Other,Semi Full,Automatic,105920,Riyadh,149000
Mazda,CX3,2019,Gulf Arabic,Standard,Automatic,40301,Riyadh,61500
Honda,Civic,2017,Saudi,Standard,Automatic,20258,Riyadh,61500
Honda,HRV,2021,Saudi,Standard,Automatic,6018,Riyadh,62000
Hyundai,Sonata,2019,Saudi,Standard,Automatic,113057,Riyadh,62500
Chrysler,300,2017,Other,Semi Full,Automatic,108828,Riyadh,94000
Chevrolet,Camaro,2016,Other,Full,Automatic,118993,Riyadh,107000
Mercedes,C,2015,Other,Full,Automatic,51201,Riyadh,119000
Mercedes,C,2017,Other,Full,Automatic,62000,Riyadh,186000
Land Rover,Range Rover,2016,Other,Full,Automatic,101839,Riyadh,220000
Mercedes,E,2017,Other,Full,Automatic,72000,Riyadh,178000
Ford,Explorer,2013,Other,Full,Automatic,111251,Riyadh,74000
Toyota,Innova,2013,Saudi,Standard,Automatic,286000,Al-Medina,38000
Toyota,Hilux,2014,Saudi,Full,Manual,299,Najran,0
Ford,Mustang,2018,Other,Full,Automatic,79000,Dammam,122000
Chevrolet,Tahoe,2016,Other,Full,Automatic,149000,Dammam,149000
Dodge,Durango,2011,Saudi,Full,Automatic,199000,Riyadh,40000
Toyota,Land Cruiser Pickup,2014,Gulf Arabic,Full,Manual,300000,Tabouk,0
Chevrolet,Camaro,2018,Other,Full,Automatic,118000,Dammam,119000
Toyota,Hilux,1995,Saudi,Full,Manual,200000,Taef,0
Chevrolet,Cruze,2013,Saudi,Standard,Automatic,120000,Makkah,18000
Toyota,Hilux,2015,Saudi,Full,Manual,234000,Jazan,56000
Chevrolet,Tahoe,2008,Saudi,Semi Full,Automatic,174000,Dammam,0
Ford,Victoria,2001,Saudi,Full,Automatic,399249,Riyadh,3000
GMC,Yukon,2014,Saudi,Semi Full,Automatic,235000,Dammam,72000
BMW,X,2014,Saudi,Full,Automatic,222000,Riyadh,0
Toyota,Rav4,2017,Saudi,Semi Full,Automatic,162000,Jeddah,60000
Mercedes,CLA,2020,Other,Standard,Automatic,10000,Riyadh,195000
Hyundai,Sonata,2012,Saudi,Full,Automatic,330000,Makkah,0
Chrysler,C300,2016,Other,Full,Automatic,83000,Dammam,86000
Toyota,Hilux,2016,Saudi,Semi Full,Manual,156495,Riyadh,62500
Toyota,Innova,2017,Saudi,Standard,Automatic,203312,Riyadh,62500
Kia,Sportage,2018,Saudi,Standard,Automatic,57073,Riyadh,63500
Nissan,Maxima,2016,Saudi,Semi Full,Automatic,100943,Riyadh,63500
Hyundai,Accent,2019,Saudi,Semi Full,Automatic,170000,Najran,0
Chrysler,S300,2018,Other,Full,Automatic,105000,Dammam,112000
Hyundai,Accent,2009,Saudi,Standard,Manual,280000,Qassim,0
Toyota,Land Cruiser,2018,Unknown,Full,Automatic,59000,Riyadh,275000
Nissan,Pathfinder,2014,Saudi,Semi Full,Automatic,285500,Jeddah,0
Toyota,Rav4,2019,Saudi,Standard,Automatic,35000,Qassim,0
Lexus,ES,2021,Saudi,Semi Full,Automatic,3000,Makkah,177000
Volkswagen,Touareg,2015,Saudi,Semi Full,Automatic,183000,Qassim,69000
GMC,Yukon,2019,Saudi,Semi Full,Automatic,60000,Makkah,175000
Toyota,Camry,2020,Saudi,Full,Automatic,1700,Makkah,115000
Mercedes,C,2019,Gulf Arabic,Full,Automatic,15000,Makkah,175000
Chevrolet,Cruze,2013,Saudi,Standard,Automatic,120000,Taef,18000
Mercedes,E,2020,Saudi,Full,Automatic,10000,Makkah,285000
Lexus,NX,2018,Saudi,Standard,Automatic,1800,Jeddah,161000
Toyota,Land Cruiser Pickup,2019,Saudi,Full,Manual,67000,Jeddah,95000
Toyota,Land Cruiser,2019,Gulf Arabic,Full,Automatic,95000,Jeddah,233000
Lexus,ES,2019,Saudi,Full,Automatic,16000,Jeddah,191000
Toyota,Rav4,2017,Saudi,Full,Automatic,174000,Jeddah,77000
Hyundai,Sonata,2016,Gulf Arabic,Full,Automatic,73000,Tabouk,63000
Hyundai,H1,2008,Saudi,Full,Manual,1000,Tabouk,17000
GMC,Suburban,2005,Saudi,Semi Full,Automatic,420000,Dammam,25000
Toyota,Corolla Cross,2009,Saudi,Semi Full,Manual,430000,Jeddah,0
Lexus,LX,1998,Other,Full,Automatic,200000,Tabouk,0
Chevrolet,Impala,2015,Other,Full,Automatic,169000,Al-Ahsa,72000
Ford,Expedition,2006,Saudi,Semi Full,Automatic,276000,Aseer,0
Renault,Koleos,2017,Saudi,Full,Automatic,103503,Riyadh,64000
Ford,Flex,2013,Saudi,Full,Automatic,71927,Riyadh,64000
Toyota,Hilux,2018,Saudi,Semi Full,Manual,111362,Riyadh,64500
Toyota,Camry,2017,Saudi,Full,Automatic,215735,Riyadh,64500
Mercedes,S,2019,Gulf Arabic,Semi Full,Automatic,80000,Riyadh,355000
Toyota,Land Cruiser,1985,Saudi,Semi Full,Manual,30000,Al-Baha,0
Hyundai,Elantra,2016,Saudi,Full,Automatic,133000,Jubail,0
Lexus,LX,2020,Saudi,Full,Automatic,14000,Jeddah,420000
Toyota,Land Cruiser,2018,Saudi,Full,Automatic,126000,Jeddah,260000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,101000,Jeddah,260000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,38000,Jeddah,248000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,52000,Jeddah,248000
Toyota,Land Cruiser,2020,Saudi,Full,Automatic,59000,Jeddah,248000
Toyota,Land Cruiser Pickup,2016,Saudi,Full,Manual,26000,Jeddah,115000
Hyundai,Tucson,2018,Saudi,Semi Full,Automatic,60000,Jeddah,70000
Hyundai,Sonata,2018,Saudi,Standard,Automatic,125000,Jeddah,57000
Hyundai,Elantra,2018,Saudi,Standard,Automatic,144000,Jeddah,45000
Toyota,Camry,2014,Saudi,Semi Full,Automatic,117000,Jeddah,43000
Hyundai,Accent,2019,Saudi,Standard,Automatic,83000,Jeddah,37000
Toyota,Yaris,2018,Saudi,Standard,Automatic,98000,Jeddah,35000
Toyota,Yaris,2018,Saudi,Standard,Automatic,68000,Jeddah,35000
Hyundai,Accent,2018,Saudi,Standard,Automatic,96000,Jeddah,34000
Hyundai,Accent,2018,Saudi,Standard,Automatic,127000,Jeddah,33000
Hyundai,Accent,2018,Saudi,Standard,Automatic,120000,Jeddah,32000
Hyundai,Sonata,2019,Saudi,Standard,Automatic,94000,Riyadh,58500
Lexus,UX,2020,Gulf Arabic,Full,Automatic,10000,Dammam,176000
Mercedes,C,2017,Other,Full,Automatic,54000,Dammam,153000
Toyota,Land Cruiser,2019,Saudi,Full,Automatic,6000,Dammam,298000
Hyundai,Elantra,2018,Other,Standard,Automatic,45000,Riyadh,54000
Toyota,Camry,2019,Saudi,Standard,Automatic,124004,Riyadh,65000
Mazda,CX3,2020,Saudi,Standard,Automatic,14501,Riyadh,66000
Ford,Taurus,2018,Saudi,Standard,Automatic,78508,Riyadh,65000
Chevrolet,Caprice,2012,Saudi,Semi Full,Automatic,100000,Khobar,0
Hyundai,Tucson,2019,Saudi,Semi Full,Automatic,77000,Al-Ahsa,0
Nissan,Patrol,2017,Saudi,Semi Full,Automatic,100,Riyadh,0
Kia,Picanto,2012,Saudi,Semi Full,Automatic,200000,Jeddah,0
Ford,Marquis,2010,Other,Semi Full,Automatic,360000,Al-Medina,0
Ford,Marquis,1999,Saudi,Full,Automatic,10000,Al-Baha,0
Honda,Accord,2017,Saudi,Full,Automatic,25400,Jeddah,90000
Lexus,ES,2016,Gulf Arabic,Semi Full,Automatic,12472,Dammam,91200
Nissan,Sunny,2011,Saudi,Standard,Automatic,108000,Riyadh,19000
Chevrolet,Silverado,2019,Saudi,Full,Automatic,33000,Tabouk,170000
Toyota,Ciocca,2012,Saudi,Semi Full,Automatic,28000,Hail,0
Toyota,Land Cruiser,2014,Saudi,Full,Automatic,182000,Al-Jouf,0
Ford,Expedition,2016,Gulf Arabic,Full,Automatic,100000,Qassim,98000
Lexus,ES,2016,Other,Full,Automatic,103000,Jeddah,102000
Hyundai,Senta fe,2015,Saudi,Full,Automatic,246000,Khobar,60000
Lincoln,Town Car,1989,Other,Full,Automatic,45000,Jeddah,0
Toyota,Ciocca,2013,Other,Full,Automatic,53000,Riyadh,90000
Toyota,Land Cruiser Pickup,2015,Gulf Arabic,Semi Full,Manual,66000,Tabouk,0
Ford,Taurus,2013,Other,Full,Automatic,296000,Riyadh,0
Toyota,Land Cruiser,2020,Saudi,Semi Full,Automatic,10000,Jazan,200000
MG,RX5,2020,Saudi,Full,Automatic,7855,Riyadh,65500
Jeep,Compass,2019,Saudi,Semi Full,Automatic,43834,Riyadh,66000
Ford,Edge,2016,Saudi,Standard,Automatic,105344,Riyadh,66500
Hyundai,Azera,2016,Saudi,Full,Automatic,91747,Riyadh,66500
Mercury,Grand Marquis,2000,Other,Standard,Automatic,470000,Riyadh,0
Kia,Carnival,2015,Gulf Arabic,Full,Automatic,34200,Al-Ahsa,50000
Kia,Rio,2019,Saudi,Standard,Automatic,17500,Al-Ahsa,37000
Ford,Marquis,2009,Saudi,Semi Full,Automatic,377000,Al-Ahsa,21000
Hyundai,Sonata,2018,Saudi,Semi Full,Automatic,78000,Riyadh,63000
